cp_ville,Région,Département,Gazole,SP98,SP95,E85,E10,GPLc,Latitude,Longitude,Nombre de stations
05240 La Salle-les-Alpes,Provence-Alpes-Côte d'Azur,Hautes-Alpes,1.895,1.995,1.945,,,,44.942,6.569,1
05260 Chabottes,Provence-Alpes-Côte d'Azur,Hautes-Alpes,1.949,1.99,,,1.929,,44.64668,6.18157,1
05260 Forest-Saint-Julien,Provence-Alpes-Côte d'Azur,Hautes-Alpes,1.89,1.97,1.95,,,,44.643941,6.136964,1
05300 Garde-Colombe,Provence-Alpes-Côte d'Azur,Hautes-Alpes,,,,,,,44.34606,5.77102,1
05300 Laragne-Montéglin,Provence-Alpes-Côte d'Azur,Hautes-Alpes,1.8893333333333333,1.9344999999999999,,1.029,1.86,,44.31133333333333,5.8293333333333335,3
05350 Château-Ville-Vieille,Provence-Alpes-Côte d'Azur,Hautes-Alpes,2.03,2.11,2.09,,,,44.7591968,6.807749599999999,1
05400 Veynes,Provence-Alpes-Côte d'Azur,Hautes-Alpes,1.8723333333333334,1.919,1.8639999999999999,1.009,1.829,,44.536889433333336,5.833787,3
05500 La Fare-en-Champsaur,Provence-Alpes-Côte d'Azur,Hautes-Alpes,1.869,,1.879,,1.809,,44.672983511300004,6.0736685408,1
05500 Saint-Bonnet-en-Champsaur,Provence-Alpes-Côte d'Azur,Hautes-Alpes,1.859,,1.879,,,,44.675773217151,6.075892485075101,1
05560 Vars,Provence-Alpes-Côte d'Azur,Hautes-Alpes,1.99,2.129,2.049,,,,44.6075,6.6884999999999994,2
05600 Eygliers,Provence-Alpes-Côte d'Azur,Hautes-Alpes,1.899,1.909,1.879,,1.839,,44.672,6.618,1
05600 Guillestre,Provence-Alpes-Côte d'Azur,Hautes-Alpes,1.873,1.8780000000000001,1.8525,,1.797,,44.658485,6.63623,2
05600 Saint-Clément-sur-Durance,Provence-Alpes-Côte d'Azur,Hautes-Alpes,,,,,,,44.651756108158,6.5873162517587005,1
05700 Serres,Provence-Alpes-Côte d'Azur,Hautes-Alpes,1.917,1.985,1.927,,1.869,,44.4313479894,5.714927967045,2
06000 Nice,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,1.9551666666666667,2.008,,1.229,1.9161666666666666,,43.713475949999996,7.262787866666667,6
06100 Nice,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,1.899,2.049,,,1.949,,43.72385,7.25579,1
06110 Le Cannet,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,1.8572,1.91475,1.799,1.124,1.8207999999999998,,43.57015560638,6.99834225113,5
06110 Mougins,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,1.945,1.978,,1.143,1.923,,43.581,7.007,1
06130 Grasse,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,1.905,1.9471428571428573,,0.9908333333333332,1.8601428571428573,,43.643569101938716,6.941853942879057,7
06140 Vence,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,1.937,1.9645000000000001,,,1.9060000000000001,0.994,43.720105689962,7.10668306332245,2
06150 Cannes,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,1.8475000000000001,1.905166666666667,,1.00575,1.8233333333333333,0.999,43.55678896732851,6.969297199369467,6
06160 Antibes,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,1.8940000000000001,1.969,,1.129,1.834,,43.5758768310065,7.1063258779488,2
06190 Roquebrune-Cap-Martin,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,1.9590000000000003,2.015,,1.0615,1.925,,43.763429474070996,7.4727548925943665,3
06200 Nice,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,1.8728181818181817,1.9266666666666667,1.853,1.1326666666666667,1.8369,0.95825,43.69305950316773,7.211539257322662,11
06210 Mandelieu-la-Napoule,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,1.8780000000000001,1.9375,,1.049,1.843,0.979,43.5279,6.91653,2
06220 Vallauris,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,1.8549999999999998,1.9043333333333334,,0.9835,1.8283333333333331,,43.580893333333336,7.05528,3
06230 Nice,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,1.869,1.949,,,1.869,,43.706,7.301,1
06230 Villefranche-sur-Mer,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,1.955,1.99,,,1.933,,43.70556,7.32039,1
06240 Beausoleil,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,1.9745,1.9945,1.949,,1.961,1.031,43.747384053748,7.424808390490799,2
06250 Le Cannet,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,1.989,1.99,,1.249,1.964,1.054,43.584,7.025,1
06250 Mougins,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,1.90975,1.9885,,1.109,1.8895,,43.5911992104335,7.004161007724875,4
06260 Puget-Théniers,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,1.858,1.8944999999999999,1.789,,1.909,,43.9553725697315,6.892155509395,2
06270 Villeneuve-Loubet,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,1.8295,1.854,,,1.7995,0.949,43.634450382088,7.136299545241201,2
06300 Nice,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,1.9186,1.9606000000000001,1.99,,1.9196666666666669,1.034,43.711333333333336,7.290666666666667,6
06310 Beaulieu-sur-Mer,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,1.955,1.99,,,1.933,,43.70743,7.33406,1
06320 Cap-d'Ail,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,1.957,1.99,,,1.93,,43.72306286293401,7.3977043091927,1
06320 La Turbie,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,2.013,2.0309999999999997,1.973,,1.9745,1.031,43.75,7.395,2
06330 Roquefort-les-Pins,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,1.8895,1.9655,,0.994,1.8665,,43.667500000000004,7.047000000000001,2
06340 Cantaron,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,1.895,1.92,1.89,,,,43.77513,7.3353,1
06340 Drap,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,1.99,1.99,1.99,,,,43.757,7.32,1
06345 La Trinité,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,1.838,1.873,,0.999,1.799,,43.743310338554004,7.3213261846714,1
06360 Èze,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,2.09,2.09,,,2.09,,43.729035301218,7.3670632474161994,1
06370 Mouans-Sartoux,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,1.788,1.827,,,1.758,,43.613900932099995,6.9764664324,1
06400 Cannes,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,1.94,1.9846,1.99,0.994,1.88725,,43.552115188565395,7.02462582895662,5
06410 Biot,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,1.979,2.019,1.989,,,,43.62474,7.10244,1
06420 Isola,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,2.078,2.076,2.062,,,,44.184,7.056,1
06430 Tende,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,1.986,,1.963,,,,44.087683067888,7.5937221262687,1
06450 La Bollène-Vésubie,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,1.979,1.999,1.969,,1.959,,43.993,7.319,1
06460 Saint-Vallier-de-Thiey,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,1.905,1.899,,0.995,1.83,,43.698,6.841,1
06480 La Colle-sur-Loup,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,1.758,1.79,1.77,,1.741,,43.674,7.123,1
06500 Menton,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,1.97275,2.01825,1.9703333333333335,1.0316666666666665,1.943,,43.783761399999996,7.494281075,4
06510 Carros,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,1.99,,,,,,43.776,7.199,1
06510 Gattières,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,1.849,1.889,,,1.82,,43.764,7.2,1
06520 Grasse,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,1.889,1.939,,,1.859,,43.681,6.969,1
06530 Le Tignet,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,1.839,,1.859,,,,43.634449000000004,6.853901,1
06530 Peymeinade,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,1.8965,1.9545,,,1.88,,43.64432,6.88398,2
06530 Saint-Cézaire-sur-Siagne,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,1.965,1.998,1.989,,,,43.650138552655,6.810616369366,1
06540 Breil-sur-Roya,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,2.09,2.196,,,2.147,,43.964,7.524,1
06550 La Roquette-sur-Siagne,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,1.8615,1.8835000000000002,1.939,0.998,1.81,,43.576,6.951499999999999,2
06560 Valbonne,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,1.8855,1.9285,1.836,0.994,1.9,,43.635993,7.023805,2
06580 Pégomas,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,1.869,1.859,1.835,0.995,1.8,,43.5922,6.92965,1
06600 Antibes,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,1.9064,1.9471111111111112,1.8860000000000001,1.1315,1.8685555555555555,0.985,43.59396160476,7.108451595196,10
06610 La Gaude,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,1.9465,1.9865,1.932,1.132,1.899,,43.7249829061515,7.15747247735915,2
06640 Saint-Jeannet,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,1.998,2.095,,,1.999,,43.74525,7.14362,1
06650 Le Rouret,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,1.919,1.909,,,1.829,,43.6729033299,6.99413645217,1
06650 Opio,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,2.075,2.19,2.09,1.19,2.18,,43.663070000000005,6.99039,2
06660 Saint-Étienne-de-Tinée,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,1.99,1.99,1.99,,,,44.233,6.952,1
06670 Colomars,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,1.809,1.899,,,1.799,,43.762,7.203,1
06670 Levens,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,2.0195,2.106,2.085,,,,43.8557467272315,7.21216640555715,2
06670 Nice,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,1.809,1.909,,,1.793,,43.76,7.2,1
06700 Saint-Laurent-du-Var,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,1.9558,2.0096,2.06,1.119,1.9408,0.999,43.6674009236632,7.18719493106836,5
06750 Séranon,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,1.9,1.91,,,1.87,,43.764,6.656,1
06770 Carros,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,1.809,1.909,,1.079,1.793,,43.7666750087,7.20105991068,1
06800 Cagnes-sur-Mer,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,1.9105,1.97725,,1.0723333333333331,1.9027142857142856,1.089,43.6602626625,7.1524033750000005,8
07000 Privas,Auvergne-Rhône-Alpes,Ardèche,1.889,1.899,,0.998,1.849,,44.727,4.597,1
07000 Veyras,Auvergne-Rhône-Alpes,Ardèche,1.999,,2.059,,2.029,,44.729,4.569,1
07100 Annonay,Auvergne-Rhône-Alpes,Ardèche,1.893,1.9395,1.888,1.0765,1.779,,45.244249999999994,4.67575,4
07110 Largentière,Auvergne-Rhône-Alpes,Ardèche,1.819,1.879,1.859,,,,44.54143,4.29344,1
07110 Vinezac,Auvergne-Rhône-Alpes,Ardèche,1.869,1.899,1.889,,,,44.537440644271,4.3466584682127,1
07120 Grospierres,Auvergne-Rhône-Alpes,Ardèche,1.99,,1.99,,,,44.41,4.294,1
07120 Pradons,Auvergne-Rhône-Alpes,Ardèche,1.974,1.99,,,1.947,,44.472,4.356,1
07120 Ruoms,Auvergne-Rhône-Alpes,Ardèche,1.846,1.867,1.831,0.978,1.801,1.02,44.4434055985,4.348132517390001,1
07130 Cornas,Auvergne-Rhône-Alpes,Ardèche,1.917,1.99,1.949,,,,44.958,4.847,1
07130 Saint-Péray,Auvergne-Rhône-Alpes,Ardèche,1.899,1.939,,,1.879,1.019,44.944,4.857,1
07130 Soyons,Auvergne-Rhône-Alpes,Ardèche,1.828,1.866,,0.998,1.794,,44.919774904095995,4.8614537844062005,1
07140 Les Vans,Auvergne-Rhône-Alpes,Ardèche,1.879,1.909,1.874,1.079,,,44.406,4.1335,2
07150 Salavas,Auvergne-Rhône-Alpes,Ardèche,1.96,,1.97,,,,44.397,4.382,1
07150 Vallon-Pont-d'Arc,Auvergne-Rhône-Alpes,Ardèche,1.871,1.899,1.873,,1.835,,44.407,4.394,1
07160 Le Cheylard,Auvergne-Rhône-Alpes,Ardèche,1.899,1.909,1.889,,1.839,,44.91283,4.44172,2
07170 Lavilledieu,Auvergne-Rhône-Alpes,Ardèche,1.879,1.929,1.909,1.139,1.859,0.989,44.57059,4.4591,1
07170 Villeneuve-de-Berg,Auvergne-Rhône-Alpes,Ardèche,1.842,1.8915,,0.999,1.827,,44.571315,4.51127,2
07190 Saint-Sauveur-de-Montagut,Auvergne-Rhône-Alpes,Ardèche,1.944,2.109,1.9740000000000002,,,,44.8203,4.588509999999999,2
07200 Aubenas,Auvergne-Rhône-Alpes,Ardèche,1.8485,1.88375,1.799,1.149,1.8150000000000002,1.019,44.61662320496449,4.395063670966025,4
07200 Saint-Didier-sous-Aubenas,Auvergne-Rhône-Alpes,Ardèche,1.879,,,1.179,1.839,,44.612,4.409,1
07200 Saint-Privat,Auvergne-Rhône-Alpes,Ardèche,1.99,1.99,,,,,44.6282697,4.4162453,1
07200 Saint-Étienne-de-Fontbellon,Auvergne-Rhône-Alpes,Ardèche,1.775,1.815,1.78,,1.737,0.916,44.599599809299995,4.38424813182,1
07200 Vesseaux,Auvergne-Rhône-Alpes,Ardèche,1.896,,1.905,,,,44.648,4.439,1
07200 Vogüé,Auvergne-Rhône-Alpes,Ardèche,1.9205,1.919,1.928,,,,44.544111799999996,4.41647873295455,2
07210 Alissas,Auvergne-Rhône-Alpes,Ardèche,1.849,1.879,1.849,0.999,1.809,,44.715,4.615,1
07220 Viviers,Auvergne-Rhône-Alpes,Ardèche,1.855,1.879,,1.069,1.825,,44.475896399999996,4.692095800000001,1
07230 Lablachère,Auvergne-Rhône-Alpes,Ardèche,1.859,,,0.999,1.815,,44.459,4.215,1
07240 Vernoux-en-Vivarais,Auvergne-Rhône-Alpes,Ardèche,1.899,,1.899,,,,44.89773,4.64767,1
07250 Le Pouzin,Auvergne-Rhône-Alpes,Ardèche,1.9335,1.92,1.9245,,,1.01,44.751045,4.75088,2
07260 Joyeuse,Auvergne-Rhône-Alpes,Ardèche,1.895,1.92,1.895,,,,44.479,4.248,1
07260 Rosières,Auvergne-Rhône-Alpes,Ardèche,1.859,1.879,,0.999,1.815,,44.483,4.267,1
07270 Lamastre,Auvergne-Rhône-Alpes,Ardèche,1.889,,1.869,,1.829,,44.982,4.569,1
07290 Lalouvesc,Auvergne-Rhône-Alpes,Ardèche,1.806,,1.8,,,,45.121,4.548,1
07300 Saint-Jean-de-Muzols,Auvergne-Rhône-Alpes,Ardèche,1.834,1.857,,0.998,1.789,,45.076,4.814,1
07300 Tournon-sur-Rhône,Auvergne-Rhône-Alpes,Ardèche,1.845,1.99,1.776,,1.816,,45.060016086675006,4.8325236698475,4
07330 Barnas,Auvergne-Rhône-Alpes,Ardèche,1.897,1.99,,,1.899,,44.66704,4.16313,1
07340 Félines,Auvergne-Rhône-Alpes,Ardèche,1.907,1.99,,,1.889,,45.309,4.742,1
07380 Lalevade-d'Ardèche,Auvergne-Rhône-Alpes,Ardèche,1.827,1.854,,0.998,1.784,,44.6498922918,4.32447950169,1
07380 Prades,Auvergne-Rhône-Alpes,Ardèche,1.959,1.99,1.99,,,,44.644662804300005,4.32898392299,1
07400 Le Teil,Auvergne-Rhône-Alpes,Ardèche,1.8319999999999999,1.859,,0.998,1.794,,44.547270902001,4.688982267458201,2
07400 Rochemaure,Auvergne-Rhône-Alpes,Ardèche,1.979,1.99,,,1.912,,44.6,4.717,1
07410 Saint-Félicien,Auvergne-Rhône-Alpes,Ardèche,1.869,1.879,1.849,,,,45.089944819115,4.6296841601189,1
07430 Davézieux,Auvergne-Rhône-Alpes,Ardèche,1.8367499999999999,1.8926666666666667,,0.952,1.8047499999999999,0.949,45.257415419656255,4.6980164649087,4
07470 Coucouron,Auvergne-Rhône-Alpes,Ardèche,1.869,,1.899,1.149,1.869,,44.801,3.972,1
07500 Guilherand-Granges,Auvergne-Rhône-Alpes,Ardèche,1.828,1.866,,0.924,1.771,,44.93828,4.86654,1
07580 Saint-Jean-le-Centenier,Auvergne-Rhône-Alpes,Ardèche,1.959,1.989,,,1.929,,44.584,4.532,1
07700 Bourg-Saint-Andéol,Auvergne-Rhône-Alpes,Ardèche,1.949,2.039,,0.998,1.959,,44.382,4.642,1
07700 Saint-Just-d'Ardèche,Auvergne-Rhône-Alpes,Ardèche,1.969,,1.899,,1.889,,44.305,4.612,1
07800 Charmes-sur-Rhône,Auvergne-Rhône-Alpes,Ardèche,1.917,1.99,,,1.899,,44.86331,4.83649,1
07800 La Voulte-sur-Rhône,Auvergne-Rhône-Alpes,Ardèche,1.822,1.8535,1.8295,,,,44.8085,4.7895,2
07800 Saint-Georges-les-Bains,Auvergne-Rhône-Alpes,Ardèche,1.854,1.879,,,1.799,,44.857,4.83,1
08000 Charleville-Mézières,Grand Est,Ardennes,1.9066666666666665,1.9656666666666667,,0.9979999999999999,1.8936666666666666,0.994,49.75613547682883,4.719551759815017,6
08000 Villers-Semeuse,Grand Est,Ardennes,1.886,1.959,,0.999,1.894,0.961,49.733,4.752,1
08090 Cliron,Grand Est,Ardennes,1.899,2.009,,,1.929,,49.805,4.621,1
08110 Blagny,Grand Est,Ardennes,1.868,1.879,1.859,,,,49.62,5.191,1
08110 Carignan,Grand Est,Ardennes,1.855,1.909,1.883,0.998,1.87,,49.637,5.162,1
08120 Bogny-sur-Meuse,Grand Est,Ardennes,1.879,1.899,,0.998,1.849,,49.857,4.764,1
08130 Attigny,Grand Est,Ardennes,1.9449999999999998,1.99,1.95,1.29,1.959,,49.48186,4.578810000000001,2
08140 Bazeilles,Grand Est,Ardennes,1.859,1.889,,,1.839,,49.684552690437,4.9723654981651,1
08150 Renwez,Grand Est,Ardennes,1.889,1.914,,,1.865,,49.84,4.605,1
08150 Rimogne,Grand Est,Ardennes,1.885,1.919,1.899,1.029,,,49.84,4.545,1
08170 Fumay,Grand Est,Ardennes,1.93,1.981,1.915,,1.941,,49.99314864106666,4.695223425316667,3
08190 Asfeld,Grand Est,Ardennes,1.8815,1.9445000000000001,1.889,,1.95,,49.46782,4.117705,2
08200 Sedan,Grand Est,Ardennes,1.85,1.905,,1.0053333333333334,1.8359999999999999,1.0015,49.700315,4.9275025,4
08210 Mouzon,Grand Est,Ardennes,1.979,2.062,2.003,,,,49.61023,5.07788,1
08230 Rocroi,Grand Est,Ardennes,1.899,2.002,1.885,,,,49.9279955609,4.52567373636,1
08260 Maubert-Fontaine,Grand Est,Ardennes,1.889,1.919,,0.998,1.865,,49.867,4.428,1
08270 Saulces-Monclin,Grand Est,Ardennes,1.99,1.99,,1.259,1.99,1.054,49.594069537325,4.5029188207464,1
08300 Amagne,Grand Est,Ardennes,1.896,1.986,,,1.889,,49.51743,4.49483,1
08300 Rethel,Grand Est,Ardennes,1.844,1.916,,0.994,1.858,,49.5075,4.364000000000001,2
08300 Sault-lès-Rethel,Grand Est,Ardennes,1.846,1.919,,0.998,1.853,,49.50033,4.35794,1
08320 Hierges,Grand Est,Ardennes,1.84,,,1.16,1.88,,50.106,4.743,1
08320 Vireux-Molhain,Grand Est,Ardennes,1.828,1.889,1.875,,1.809,,50.081,4.725,1
08330 Vrigne aux Bois,Grand Est,Ardennes,1.929,1.969,1.949,,,,49.735,4.85,1
08350 Donchery,Grand Est,Ardennes,1.929,1.949,1.929,,,,49.698,4.866,1
08360 Château-Porcien,Grand Est,Ardennes,1.879,1.969,1.879,,,,49.53,4.249,1
08400 Vouziers,Grand Est,Ardennes,1.8376666666666666,1.901,1.8305,0.955,1.8303333333333331,,49.4,4.698,3
08430 Poix-Terron,Grand Est,Ardennes,1.999,2.021,,,1.945,,49.651,4.642,1
08500 Revin,Grand Est,Ardennes,1.888,,,,1.898,,49.939,4.641,1
08600 Givet,Grand Est,Ardennes,1.9215,1.896,2.05,0.998,1.834,,50.133731201032504,4.834273094968,2
08700 Nouzonville,Grand Est,Ardennes,1.879,1.93,1.915,,,,49.81889,4.74094,1
08800 Les Hautes-Rivières,Grand Est,Ardennes,1.997,2.068,,,1.999,,49.873,4.849,1
08800 Monthermé,Grand Est,Ardennes,1.912,1.916,1.895,,1.934,,49.8825,4.7405,2
09000 Foix,Occitanie,Ariège,1.9015,1.941,1.88,0.9764999999999999,1.8845,1.01,42.955012272015246,1.6213857562862501,4
09100 Pamiers,Occitanie,Ariège,1.89525,1.919,1.865,0.9966666666666667,1.874,,43.116,1.6172499999999999,4
09100 Saint-Jean-du-Falga,Occitanie,Ariège,1.779,1.809,,0.954,1.76,1.01,43.084,1.63,1
09110 Perles-et-Castelet,Occitanie,Ariège,1.899,1.84,,,1.872,,42.7442317,1.7855673,1
09110 Savignac-les-Ormeaux,Occitanie,Ariège,1.91,,1.91,,1.872,,42.73,1.821,1
09140 Oust,Occitanie,Ariège,,1.99,,0.994,1.892,,42.883,1.215,1
09190 Saint-Lizier,Occitanie,Ariège,1.8605,1.905,1.869,1.0735000000000001,1.839,,42.9995193145015,1.133390884848,2
09200 Saint-Girons,Occitanie,Ariège,1.8545,1.9100000000000001,1.869,1.0665,1.811,0.997,42.97642449278099,1.14826165676115,2
09210 Lézat-sur-Lèze,Occitanie,Ariège,1.769,1.764,,0.947,1.721,,43.281,1.348,1
09220 Val-de-Sos,Occitanie,Ariège,1.929,1.914,,,1.859,,42.7699,1.50032,1
09240 La Bastide-de-Sérou,Occitanie,Ariège,1.897,1.873,,,1.825,,43.012,1.431,1
09270 Mazères,Occitanie,Ariège,1.85,1.84,1.82,,1.916,,43.251,1.678,1
09300 Bélesta,Occitanie,Ariège,1.904,1.914,,,1.84,,42.905037458101006,1.93068992624905,2
09300 Lavelanet,Occitanie,Ariège,1.8785,1.879,1.868,0.999,1.839,,42.932694999999995,1.8556750000000002,2
09340 Verniolle,Occitanie,Ariège,1.815,1.877,,,1.76,,43.079,1.638,1
09350 Les Bordes-sur-Arize,Occitanie,Ariège,1.88,1.865,1.835,,,,43.108130777057994,1.37493244737,1
09400 Tarascon-sur-Ariège,Occitanie,Ariège,1.957,2.1245,2.037,1.177,1.859,,42.848085,1.6008900000000001,2
09500 Mirepoix,Occitanie,Ariège,1.8423333333333334,1.9066666666666665,1.8795,0.996,1.8199999999999998,,43.08585333333334,1.8733966666666664,3
09600 Laroque-d'Olmes,Occitanie,Ariège,1.8645,1.972,1.979,1.034,1.82,,42.975865,1.86787,2
09700 Saverdun,Occitanie,Ariège,1.859,1.899,,0.998,1.829,0.999,43.253,1.565,1
10000 Troyes,Grand Est,Aube,1.8922,1.9542000000000002,,0.994,1.8858000000000001,,48.29159,4.078081999999999,5
10100 Romilly-sur-Seine,Grand Est,Aube,1.86175,1.91375,1.888,0.953,1.8616666666666666,0.999,48.508795,3.7323575,4
10110 Bar-sur-Seine,Grand Est,Aube,1.887,1.957,,1.0285,1.8820000000000001,,48.110884999999996,4.379144999999999,2
10120 Saint-André-les-Vergers,Grand Est,Aube,1.8775,1.931,,0.971,1.8719999999999999,,48.2845,4.053000000000001,2
10120 Saint-Germain,Grand Est,Aube,1.8944999999999999,1.9495,1.879,,1.9045,,48.2512597042015,4.0281018858597,2
10130 Auxon,Grand Est,Aube,1.929,1.999,,0.998,1.899,,48.11,3.921,1
10130 Ervy-le-Châtel,Grand Est,Aube,1.949,1.999,1.979,,,,48.046,3.924,1
10140 Vendeuvre-sur-Barse,Grand Est,Aube,1.949,,1.979,,,,48.237,4.467,1
10150 Charmont-sous-Barbuise,Grand Est,Aube,1.944,,,,1.957,,48.4110575553,4.14348044661,1
10150 Creney-près-Troyes,Grand Est,Aube,1.803,1.907,1.832,0.998,1.808,,48.328,4.113,1
10150 Pont-Sainte-Marie,Grand Est,Aube,1.857,1.946,,,1.866,,48.311528032361,4.097007878988999,1
10160 Aix-Villemaur-Pâlis,Grand Est,Aube,1.859,1.889,,,1.829,,48.216,3.741,1
10170 Méry-sur-Seine,Grand Est,Aube,1.869,1.92,,0.998,1.859,,48.50802136869999,3.87881675396,1
10180 Saint-Lyé,Grand Est,Aube,1.811,1.853,,0.998,1.786,,48.367,3.997,1
10190 Estissac,Grand Est,Aube,1.949,,1.979,,,,48.274,3.804,1
10200 Bar-sur-Aube,Grand Est,Aube,1.8956666666666668,2.039,1.9456666666666667,0.997,1.829,,48.23166666666666,4.709333333333333,3
10210 Chaource,Grand Est,Aube,1.8744999999999998,1.9595,1.8995,,,,48.061925,4.14088,2
10230 Mailly-le-Camp,Grand Est,Aube,1.8944999999999999,1.999,1.9445000000000001,,,,48.671324999999996,4.19163,2
10250 Mussy-sur-Seine,Grand Est,Aube,1.9415,2.029,1.9660000000000002,1.038,,,47.979,4.495,2
10260 Fouchères,Grand Est,Aube,1.99,1.99,,,1.99,,48.15,4.262,1
10260 Vaudes,Grand Est,Aube,1.862,1.907,1.883,,,,48.181,4.189,1
10270 Fresnoy-le-Château,Grand Est,Aube,1.99,1.99,,1.249,1.99,1.054,48.212577777374,4.2409903142154,2
10270 Lusigny-sur-Barse,Grand Est,Aube,1.8375,1.9075,1.888,0.955,1.808,,48.257722282728,4.2553198733413,2
10300 La Chapelle-Saint-Luc,Grand Est,Aube,1.83,1.892,1.854,,1.839,0.899,48.305,4.027,1
10300 Sainte-Savine,Grand Est,Aube,1.854,1.9355,,0.999,1.861,0.924,48.292500000000004,4.04,2
10340 Les Riceys,Grand Est,Aube,1.969,2.029,1.999,,,,47.99651,4.36718,1
10350 Marigny-le-Châtel,Grand Est,Aube,1.845,1.896,1.871,,1.833,,48.406,3.738,1
10360 Essoyes,Grand Est,Aube,1.969,2.029,1.999,,,,48.0606395,4.5380332,1
10370 Villenauxe-la-Grande,Grand Est,Aube,1.819,,1.859,,1.819,,48.585,3.561,1
10400 Nogent-sur-Seine,Grand Est,Aube,1.849,1.879,1.851,,1.806,,48.4891687968,3.50203303223,2
10410 Villechétif,Grand Est,Aube,1.803,1.907,1.832,0.955,1.808,0.899,48.297951133716005,4.1336364178578995,1
10430 Rosières-près-Troyes,Grand Est,Aube,1.83,1.907,1.832,0.955,1.8215,,48.264254020727,4.04908638064265,2
10500 Brienne-le-Château,Grand Est,Aube,1.8639999999999999,1.895,1.869,,1.842,,48.397758350000004,4.523128,2
10500 Lesmont,Grand Est,Aube,1.947,1.99,,,1.934,,48.428,4.421,1
10600 Barberey-Saint-Sulpice,Grand Est,Aube,1.826,1.919,,0.969,1.8279999999999998,0.899,48.3345,4.021,2
10600 La Chapelle-Saint-Luc,Grand Est,Aube,1.92,2.02,,,1.93,,48.304,4.032,1
10700 Arcis-sur-Aube,Grand Est,Aube,1.8755,1.9395,,,1.861,,48.535,4.1436666666666655,3
10800 Buchères,Grand Est,Aube,1.877,1.922,,,1.878,,48.237,4.109,1
10800 Saint-Julien-les-Villas,Grand Est,Aube,1.8596666666666666,1.9093333333333333,1.884,0.998,1.8456666666666666,,48.272220000000004,4.090613333333334,3
11000 Carcassonne,Occitanie,Aude,1.8454000000000002,1.9012222222222224,1.8565,1.0545,1.807375,1.004,43.21344583333334,2.349855,12
11100 Narbonne,Occitanie,Aude,1.8270833333333334,1.866,1.955,1.0088333333333332,1.785,1.0165,43.17804169869317,2.9942245854615166,12
